variablename,short description,years,longer description,sources 
rarrestsi,Linearly interpolated and carried back values of 'rarrests',2000–2016,Linearly interpolated and carried back values of 'rarrests' (over-18 victimless crimes arrests as a share of all over-18 arrests),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rdrenrat,Drug enforcement rate,2000–2014,"Drug enforcement rate = rdrugs / ruse (3-year moving average for 2004– 2012), multiplied by 100","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rdrenrati,Linearly interpolated and imputed based on 'rdrugs' values of 'rdrenrat',2000–2016,Linearly interpolated and imputed based on 'rdrugs' values of 'rdrenrat' (drug enforcement rate),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rdrugs,"Arrests, 18 and over, for drug abuse violations, divided by population",2000–2016,"Arrests, 18 and over, for drug abuse violations, divided by population","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rdrugsa,"Arrests, 18 and over, for drug abuse violations, divided by all arrests, 18 and over",2000–2016,"Arrests, 18 and over, for drug abuse violations, divided by all arrests, 18 and over","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rescsrc,"Relative prevalence of 'escort' search term on Google, 2004–2015",2004–2016,"Relative prevalence of 'escort' search term on Google, 2004–2015","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rgamb,"Arrests, 18 and over, for gambling, divided by population",2000–2016,"Arrests, 18 and over, for gambling, divided by population","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rgamba,"Arrests, 18 and over, for gambling, divided by arrests, 18 and over",2000–2016,"Arrests, 18 and over, for gambling, divided by arrests, 18 and over","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rincarc,"Imprisonment rates of sentenced prisoners under jurisdiction of state and federal correctional authorities, year- end",2000–2015,"Imprisonment rates of sentenced prisoners under jurisdiction of state and federal correctional authorities, year- end (over 1-year sentence, per 100,000 residents)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rincarcr,"Residuals of OLS regression of ln(rincarc) on ln(rviol), ln(rprop) with unit and year fixed effects",2000–2015,"Residuals of OLS regression of ln(rincarc) on ln(rviol), ln(rprop) with unit and year fixed effects, calculated with Stata 15—fixed effects not included in predicted values","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rliquor,"Arrests, 18 and over, for liquor law violations, divided by population",2000–2016,"Arrests, 18 and over, for liquor law violations, divided by population","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rliquora,"Arrests, 18 and over, for liquor law violations, divided by arrests, 18 and over",2000–2016,"Arrests, 18 and over, for liquor law violations, divided by arrests, 18 and over","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rloit,"Arrests, all ages, for curfew and loitering law violations, divided by population",2000–2016,"Arrests, all ages, for curfew and loitering law violations, divided by population","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rloita,"Arrests, all ages, for curfew and loitering law violations, divided by arrests, 18 and over",2000–2016,"Arrests, all ages, for curfew and loitering law violations, divided by arrests, 18 and over","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rphone,Prison collect phone call rate for 15 min. (in- state),2014–2017,Prison collect phone call rate for 15 min. (in-state),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rprenrat,Prostitution enforcement rate,2004–2016,Prostitution enforcement rate (rprost * 100 / rescsrc),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rprop,"Property crime rate per 100,000 residents",2000–2016,"Property crime rate per 100,000 residents","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rprost,"Arrests, 18 and over, for prostitution and commercialized vice violations, divided by population",2000–2016,"Arrests, 18 and over, for prostitution and commercialized vice violations, divided by population","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rprosta,"Arrests, 18 and over, for prostitution and commercialized vice violations, divided by all arrests, 18 and over",2000–2016,"Arrests, 18 and over, for prostitution and commercialized vice violations, divided by all arrests, 18 and over","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ruse,Past month use of any illicit drug (percentages),2000–2014,Past month use of any illicit drug (percentages),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rvcarrst,Over-18 victimless crimes arrests as percentage of population,2000–2016,"Over-18 victimless crimes arrests as percentage of population (sum of rweap, rprost, rgamb, rliquor, rloit)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rvcarrsti,Linearly interpolated and carried-back values of 'rvcarrst',2000–2016,Linearly interpolated and carried-back values of 'rvcarrst' (over-18 victimless crimes arrests as a share of population),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rviol,"Violent crime rate per 100,000 residents",2000–2016,"Violent crime rate per 100,000 residents","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rweap,"Arrests, 18 and over, for carrying or possession of weapons, divided by population",2000–2016,"Arrests, 18 and over, for carrying or possession of weapons, divided by population","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
rweapa,"Arrests, 18 and over, for carrying or possession of weapons divided by all arrests, 18 and over",2000–2016,"Arrests, 18 and over, for carrying or possession of weapons divided by all arrests, 18 and over","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
ddna2,"DNA database index, some arrestees without probable cause hearing",2000–2016,"DNA database index, some arrestees without probable cause hearing (= ddna if ddna > 0.75, otherwise = 0)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
gunbckcheck,Firearm background checks (total number),1999–2017,Number of firearm background checks conducted by the National Instant Criminal Background Check System per year by state. Data for 2012 are only January–September.,"U.S. Federal Bureau of Investigation. 2012. 'NICS Firearm Background Checks.' https://www.fbi.gov/file-repository/nics_firearm_checks_-
_year_by_state_type.pdf/view
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
scovmar,Covenant marriage option,2000–2016,"Covenant marriage option (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
sbldtest,Blood test required,2000–2016,"Blood test required (0 = no, 1 = yes)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
scuzmar,Cousin marriage legal,2000–2016,"Cousin marriage legal (0 = first cousin marriage prohibited, 0.5 = legal under certain circumstances, 1 = first cousin marriage legal)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
slwp,"Waiting period between applying for and receiving license, in days",2000–2016,"Waiting period between applying for and receiving license, in days","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
slwp2,Waiting period between receipt of license and ability to marry,2000–2016,Waiting period between receipt of license and ability to marry,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
swait,Total waiting period,2000–2016,Total waiting period (slwp + slwp2),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
adoption_act_1953_1969,Act regulating adoption requirements and standards,1971–1977,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
adoption_act_1994,Act regulating adoption requirements and standards (1994 version),1996,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
adult_guardianship_and_protectiv,Mechanism for multi-state guardianship disputes,2008–2016,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
deployed_parents_custody_and_vis,Addresses issues of child custody and visitation that arise when parents are deployed in military or other national service,2013–2016,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
disposition_of_community_propert,Preserves the rights of each spouse in property that was community property before the spouses moved to the non-community property state,1973–2013,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
guardianship_and_protective_proc,Procedures on the appointment and guardians of conservators of minors,1987–2009,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
"interstate_family
_support_act_1",Regulates interstate child support,1993–1998,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
"interstate_family
_support_act_2",Regulates interstate child support (2001 version),2002–2007,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
"interstate_family
_support_act_am",Regulates interstate child support (2008 version),2009–2016,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
marital_property_act,Allows the family to be viewed as single economic unit,1984,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
marriage_and_divorce_act_model,Minimizes the number of prohibited marriages and includes the concept of no- fault divorce,1973–1978,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
parentage_act,"Law of determination of parentage, paternity actions and child support",2001–2015,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
parentage_act_1973,"Law of determination of parentage, paternity actions and child support (1973 version)",1975–1989,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
premarital_agreement_act,Allows for agreement between spouses made before marriage to be effective upon marriage,1985–2007,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
premarital_and_marital_agreement,Standardizes marital and pre- marital agreements,2013,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
reciprocal_enforcement_of_suppor,Facilitates interstate cooperation on collecting child support,1968–1990,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
veterans_guardianship_act_1942,Regulates guardianship of incompetent veterans and orphans of deceased veterans,1942–1953,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
grandvist,Grandparents’ visitation rights,1964–1987,"Did state adopt grandparents’ visitation rights? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
genderrights_nofault_divorce,No-fault divorce,1966–2014,"Does the state have a no-fault divorce policy? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
regulation_boehmke_grandvist,Grandparents’ visitation rights,1964–1987,"Does the state have a law guaranteeing grandparents’ visitation rights? (0 = no, 1 = yes)","Caughey, Devin, and Christopher Warshaw. 2015. 'The Dynamics of State Policy Liberalism, 1936–2014.' American Journal of Political Science, September. doi: 10.1111/ajps.12219. https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z XZMJB"
divorcerate,Divorce rate,1975–2004,"Provisional counts of divorces by state of occurrence per 1,000 total population. Data for 1996 are unavailable.","National Center for Health Statistics. 'Divorce Rates by State.' http://www.cdc.gov/nchs/products/nvsr.htm.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)"
ccb,Community college bachelor’s degree,1989–2006,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
cent,Centralization of tuition control,1985–2005,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s1,Comprehensive remediation reform,1988–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s10,Delivery of remediation,1988–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s2,"Accountability (such as reporting rates of enrollment and outcomes, performance- based funding)",1996–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s3,Financial support or reduction of the support for remediation (cost),2006–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s4,Access to college placement exams and remediation before college,1978–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s5,"Placement policies (placement examination, changes to placement criteria)",1997–2008,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s6,Remedial credits counting toward financial aid,2004–2008,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s7,Remedial credits counting or non- counting toward graduation and full-time status,1989–2008,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s8,Remediation expanded or limited to certain sectors of higher education,1996–2006,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dev_s9,"Limits for remediation (time, credit hours, etc.) and punishment of unsuccessful students in the developmental education",1996–2008,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
dual_enroll,Allowed to enroll in college while in high school,1976–2005,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
inst_tu_und,In-state tuition for undocumented immigrants,2001–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
inst_tu_vet,In-state tuition for veterans,2006–2009,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
collegesavings,College savings plan,1988–2002,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
eminentscholar,State eminent scholar program,1983–2007,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
governance_reform,Restructuring of state higher education governance structures,1985–2001,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
meritaid,Merit-based aid program,1993–2005,0 = policy not adopted 1 = policy adopted,"Lacy, T. Austin, and David A. Tandberg. 'Rethinking policy diffusion: The interstate spread of ‘finance innovations’.' Research in Higher
Education 55.7 (2014): 627–649.
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7"
arts,Council on the arts,1936–1980,"Did state adopt a council on the arts? (0
= no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329."
